工種,品目,単位,単価,備考
仮設工事,足場設置,m2,1500,外壁面積あたり
仮設工事,養生,m2,300,
基礎工事,布基礎,m,15000,
基礎工事,ベタ基礎,m2,25000,
基礎工事,独立基礎,箇所,35000,
木工事,柱（105角）,m,2500,
木工事,梁（105×180）,m,3500,
木工事,床組,m2,8000,
木工事,屋根下地,m2,5000,
屋根工事,瓦葺き,m2,12000,
屋根工事,金属板葺き,m2,8000,
屋根工事,アスファルトシングル,m2,5000,
外壁工事,サイディング,m2,7000,
外壁工事,モルタル吹付,m2,5000,
外壁工事,タイル張り,m2,15000,
建具工事,玄関ドア,箇所,150000,
建具工事,掃き出し窓,箇所,80000,
建具工事,引き違い窓（大）,箇所,50000,
建具工事,引き違い窓（小）,箇所,35000,
建具工事,FIX窓,箇所,25000,
建具工事,室内ドア,箇所,40000,
内装工事,床フローリング,m2,8000,
内装工事,床畳,m2,6000,
内装工事,クロス仕上げ（壁）,m2,1200,
内装工事,クロス仕上げ（天井）,m2,1000,
内装工事,クッションフロア,m2,2500,
設備工事,給排水配管,式,500000,延床面積100m2まで
設備工事,電気配線,式,400000,延床面積100m2まで
設備工事,ユニットバス,式,600000,1616サイズ
設備工事,システムキッチン,式,700000,2550mm
設備工事,洗面化粧台,式,200000,
設備工事,トイレ,式,150000,
